Date       ,Time       ,Transaction Platform,Spend,Expense/Revenue,Transaction Type
1/12/2019,7:18:28 AM,Taobao,-68,Expense,Communication
1/11/2019,5:33:06 PM,other platforms,-35.7,Expense,Food
1/11/2019,5:04:00 PM,other platforms,-129,Expense,Food
1/10/2019,6:52:19 PM,other platforms,-461,Expense,Food
1/10/2019,6:41:00 PM,other platforms,-28.64,Expense,Tranportation
1/10/2019,10:49:51 AM,other platforms,-182.6,Expense,Food
1/9/2019,9:45:40 PM,Alipay Website,600,Revenue,Account Transfer
1/9/2019,8:23:18 PM,other platforms,-26.88,Expense,Tranportation
1/9/2019,5:48:14 PM,Alipay Website,1720,Revenue,Account Transfer
1/9/2019,12:26:10 PM,other platforms,-23.22,Expense,Tranportation
1/8/2019,7:35:45 PM,other platforms,-18.4,Expense,Food
1/7/2019,6:50:51 PM,other platforms,-19,Expense,Food
1/6/2019,10:20:55 PM,other platforms,-39.48,Expense,Tranportation
1/6/2019,1:53:00 PM,other platforms,-39.4,Expense,Tranportation
1/5/2019,10:09:08 AM,Taobao,-5980,Expense,Clothes and cosmetic
1/4/2019,10:17:14 AM,other platforms,-15,Expense,Cultural educational and recreational articles and services
1/3/2019,2:57:48 PM,other platforms,-133.41,Expense,Others
1/3/2019,1:57:31 PM,other platforms,-41.15,Expense,Tranportation
1/2/2019,1:22:48 PM,other platforms,-328,Expense,Cultural educational and recreational articles and services
1/1/2019,8:32:45 AM,other platforms,-128,Expense,Cultural educational and recreational articles and services
1/1/2019,8:22:56 AM,Taobao,-140.5,Expense,Communication
12/31/2018,1:08:41 PM,other platforms,-680,Expense,Tranportation
12/28/2018,8:05:45 PM,other platforms,-158,Expense,Cultural educational and recreational articles and services
12/28/2018,5:39:22 PM,other platforms,-75.36,Expense,Tranportation
12/28/2018,2:26:13 PM,other platforms,-37.9,Expense,Food
12/28/2018,10:24:26 AM,other platforms,-648,Expense,Cultural educational and recreational articles and services
12/28/2018,10:04:58 AM,other platforms,-68,Expense,Cultural educational and recreational articles and services
12/27/2018,4:33:34 PM,other platforms,-14,Expense,Food
12/27/2018,1:43:50 PM,other platforms,-13,Expense,Tranportation
12/27/2018,12:25:48 PM,other platforms,-14.52,Expense,Tranportation
12/27/2018,10:41:42 AM,other platforms,-36.56,Expense,Tranportation
12/26/2018,8:31:13 PM,other platforms,-23,Expense,Food
12/26/2018,1:40:17 PM,Taobao,-63,Expense,Communication
12/26/2018,1:15:17 AM,other platforms,-70,Expense,Cultural educational and recreational articles and services
12/25/2018,9:23:24 AM,other platforms,-68.64,Expense,Tranportation
12/24/2018,3:30:11 PM,other platforms,-20.12,Expense,Tranportation
12/24/2018,2:51:56 PM,other platforms,-25.16,Expense,Tranportation
12/24/2018,12:22:24 PM,Taobao,-585,Expense,Tranportation
12/24/2018,9:49:54 AM,other platforms,-12.1,Expense,Tranportation
12/24/2018,7:17:42 AM,other platforms,-128,Expense,Cultural educational and recreational articles and services
12/23/2018,10:09:57 PM,other platforms,-20.69,Expense,Tranportation
12/23/2018,7:27:13 PM,other platforms,-12.1,Expense,Tranportation
12/23/2018,2:13:47 PM,other platforms,-20.54,Expense,Tranportation
12/23/2018,1:25:49 PM,Alipay Website,750,Revenue,Account Transfer
12/22/2018,7:24:49 AM,other platforms,-68,Expense,Cultural educational and recreational articles and services
12/21/2018,4:42:08 PM,other platforms,-5,Expense,Tranportation
12/21/2018,2:48:21 PM,other platforms,-328,Expense,Cultural educational and recreational articles and services
12/21/2018,11:41:00 AM,other platforms,-38.26,Expense,Tranportation
12/21/2018,10:56:29 AM,other platforms,-58.35,Expense,Tranportation
12/21/2018,9:07:49 AM,Alipay Website,1328.56,Revenue,Account Transfer
12/21/2018,9:07:19 AM,Alipay Website,671.44,Revenue,Account Transfer
12/21/2018,8:37:28 AM,other platforms,-25,Expense,Cultural educational and recreational articles and services
12/20/2018,7:08:46 PM,other platforms,-128,Expense,Cultural educational and recreational articles and services
12/20/2018,5:44:41 PM,other platforms,-68,Expense,Cultural educational and recreational articles and services
12/20/2018,5:09:56 PM,other platforms,-30,Expense,Cultural educational and recreational articles and services
12/20/2018,10:36:35 AM,other platforms,-21.22,Expense,Tranportation
12/19/2018,10:01:02 PM,other platforms,-34.4,Expense,Tranportation
12/19/2018,8:32:42 PM,Taobao,-553,Expense,Tranportation
12/19/2018,6:15:48 PM,other platforms,-68,Expense,Others
12/19/2018,1:01:01 PM,other platforms,-12.5,Expense,Food
12/19/2018,10:48:20 AM,other platforms,-1268,Expense,Tranportation
12/19/2018,10:03:36 AM,other platforms,-45,Expense,Cultural educational and recreational articles and services
12/19/2018,9:18:01 AM,other platforms,-45,Expense,Cultural educational and recreational articles and services
12/19/2018,9:06:21 AM,other platforms,-18,Expense,Cultural educational and recreational articles and services
12/19/2018,8:33:08 AM,other platforms,-25,Expense,Cultural educational and recreational articles and services
12/18/2018,7:59:32 PM,other platforms,-128,Expense,Cultural educational and recreational articles and services
12/18/2018,7:57:39 PM,other platforms,-13.5,Expense,Food
12/18/2018,7:31:26 PM,Taobao,-210,Expense,Others
12/18/2018,6:39:13 PM,Taobao,-342,Expense,Others
12/18/2018,5:57:38 AM,other platforms,-25,Expense,Others
12/17/2018,7:30:06 PM,other platforms,-10.5,Expense,Food
